auctionid,bid,bidtime,bidder,bidderrate,openbid,price
8211480551,52.99,1.2015049999999998,hanna1104,94.0,49.99,311.6
8211480551,50.99,1.203843,wrufai1,90.0,49.99,311.6
8211480551,101.99,1.204433,wrufai1,90.0,49.99,311.6
8211480551,57.0,1.708437,newberryhwt,14.0,49.99,311.6
8211480551,144.48,3.089711,miloo2005,3.0,49.99,311.6
8211480551,170.0,4.187963,fzakhour,5.0,49.99,311.6
8211480551,189.0,5.24581,bbcboi2007,1.0,49.99,311.6
8211480551,298.48,5.863021,miloo2005,3.0,49.99,311.6
8211480551,200.0,6.334815,laxwarrior07,12.0,49.99,311.6
8211480551,250.0,6.548796,aladdin987,292.0,49.99,311.6
8211480551,306.6,6.633935000000001,pkfury,11.0,49.99,311.6
8211480551,311.6,6.997338,wrufai1,90.0,49.99,311.6
8211763485,10.0,0.6827310000000001,wolomaster,0.0,9.99,139.3
8211763485,11.0,0.761713,deucekdp,0.0,9.99,139.3
8211763485,11.0,1.951273,wolomaster,0.0,9.99,139.3
8211763485,13.37,1.951701,wolomaster,0.0,9.99,139.3
8211763485,21.0,2.111597,davgig,21.0,9.99,139.3
8211763485,15.0,2.436134,deucekdp,0.0,9.99,139.3
8211763485,18.0,2.436424,deucekdp,0.0,9.99,139.3
8211763485,20.0,2.436644,deucekdp,0.0,9.99,139.3
8211763485,25.0,2.437211,deucekdp,0.0,9.99,139.3
8211763485,35.0,2.583125,davgig,21.0,9.99,139.3
8211763485,30.0,3.175382,deucekdp,0.0,9.99,139.3
8211763485,40.0,3.176632,deucekdp,0.0,9.99,139.3
8211763485,37.5,3.31978,msu_cat,0.0,9.99,139.3
8211763485,75.0,3.7463660000000005,smittieboy,0.0,9.99,139.3
8211763485,42.0,4.841065,babygirljrt,0.0,9.99,139.3
8211763485,45.0,4.841133999999999,babygirljrt,0.0,9.99,139.3
8211763485,82.5,5.828449,msu_cat,0.0,9.99,139.3
8211763485,99.0,6.079873,andresedu,10.0,9.99,139.3
8211763485,85.0,6.819942,musiceducator,62.0,9.99,139.3
8211763485,87.0,6.820081,musiceducator,62.0,9.99,139.3
8211763485,89.0,6.820185,musiceducator,62.0,9.99,139.3
8211763485,95.0,6.820289,musiceducator,62.0,9.99,139.3
8211763485,100.0,6.820382,musiceducator,62.0,9.99,139.3
8211763485,110.0,6.937222,merkysrx3,5.0,9.99,139.3
8211763485,118.5,6.966088,lonewolf08068,6.0,9.99,139.3
8211763485,127.75,6.966481,lonewolf08068,6.0,9.99,139.3
8211763485,115.0,6.974213000000001,cowboysok,2.0,9.99,139.3
8211763485,125.0,6.974444,cowboysok,2.0,9.99,139.3
8211763485,136.8,6.980532000000001,lonewolf08068,6.0,9.99,139.3
8211763485,130.0,6.984872999999999,merkysrx3,5.0,9.99,139.3
8211763485,139.3,6.99978,waxhawsam,116.0,9.99,139.3
8211851222,55.0,6.021053,smoothy43m,69.0,50.0,161.0
8211851222,51.0,6.378843,ahmadf316,1.0,50.0,161.0
8211851222,54.0,6.379225,ahmadf316,1.0,50.0,161.0
8211851222,59.66,6.499745,dang800,5.0,50.0,161.0
8211851222,57.0,6.654282000000001,txrang10,98.0,50.0,161.0
8211851222,60.0,6.654583000000001,txrang10,98.0,50.0,161.0
8211851222,65.0,6.713646000000001,em19680,23.0,50.0,161.0
8211851222,65.0,6.734225,justin_henty,10.0,50.0,161.0
8211851222,80.0,6.736041999999999,losiewiczp,1683.0,50.0,161.0
8211851222,67.0,6.772292,smoothy43m,69.0,50.0,161.0
8211851222,69.01,6.782442,easternlightsphotography,8.0,50.0,161.0
8211851222,71.01,6.792025,sammysdrummer,4.0,50.0,161.0
8211851222,73.01,6.792141,sammysdrummer,4.0,50.0,161.0
8211851222,80.0,6.801330999999999,em19680,23.0,50.0,161.0
8211851222,85.0,6.865844999999999,ekhcp,0.0,50.0,161.0
8211851222,100.0,6.878935,jareem04,0.0,50.0,161.0
8211851222,90.0,6.908819,wet444we,12.0,50.0,161.0
8211851222,99.0,6.908993,wet444we,12.0,50.0,161.0
8211851222,120.0,6.909167,wet444we,12.0,50.0,161.0
8211851222,115.0,6.937175999999999,wardpfunkdecree,29.0,50.0,161.0
8211851222,140.0,6.942627000000001,jardo02,12.0,50.0,161.0
8211851222,141.0,6.951192,jardo02,12.0,50.0,161.0
8211851222,130.0,6.9684610000000005,wet444we,12.0,50.0,161.0
8211851222,140.0,6.9687149999999995,wet444we,12.0,50.0,161.0
8211851222,150.0,6.9689119999999996,wet444we,12.0,50.0,161.0
8211851222,150.0,6.979595,jardo02,12.0,50.0,161.0
8211851222,160.0,6.979699,jardo02,12.0,50.0,161.0
8211851222,161.0,6.979896000000001,ojigun,238.0,50.0,161.0
8212110388,15.0,0.889618,steph4197,17.0,1.0,61.0
8212110388,1.25,1.02463,mtns1208,3.0,1.0,61.0
8212110388,2.0,1.024965,mtns1208,3.0,1.0,61.0
8212110388,5.0,2.113299,sweetie6684,162.0,1.0,61.0
8212110388,7.51,2.477512,jimwrex,50.0,1.0,61.0
8212110388,30.0,2.925903,elroyjettson,13.0,1.0,61.0
8212110388,20.0,3.876968,steph4197,17.0,1.0,61.0
8212110388,25.0,3.8771760000000004,steph4197,17.0,1.0,61.0
8212110388,30.0,3.8773839999999997,steph4197,17.0,1.0,61.0
8212110388,31.0,3.8792129999999996,steph4197,17.0,1.0,61.0
8212110388,35.0,6.249074,r669craz,0.0,1.0,61.0
8212110388,40.0,6.68191,bizzyb0ne,140.0,1.0,61.0
8212110388,44.0,6.698889,panache640,37.0,1.0,61.0
8212110388,43.0,6.806516,donnaj666,0.0,1.0,61.0
8212110388,45.0,6.806863000000001,donnaj666,0.0,1.0,61.0
8212110388,46.0,6.99419,sherin208,2.0,1.0,61.0
8212110388,48.0,6.996725,donnaj666,0.0,1.0,61.0
8212110388,50.0,6.997176,sherin208,2.0,1.0,61.0
8212110388,51.0,6.9978240000000005,donnaj666,0.0,1.0,61.0
8212110388,52.0,6.998576,sherin208,2.0,1.0,61.0
8212110388,53.0,6.9990619999999995,sherin208,2.0,1.0,61.0
8212110388,56.0,6.999178,donnaj666,0.0,1.0,61.0
8212110388,55.0,6.999306,alarpi,0.0,1.0,61.0
8212110388,61.0,6.999433,sherin208,2.0,1.0,61.0
8212110388,58.0,6.999617999999999,alarpi,0.0,1.0,61.0
8212110388,60.0,6.999757000000001,alarpi,0.0,1.0,61.0
8212110388,61.0,6.99978,sherin208,2.0,1.0,61.0
8212116757,50.0,4.3764,juan52501,2.0,49.99,167.5
8212116757,100.0,4.376608999999999,juan52501,2.0,49.99,167.5
8212116757,51.0,6.108681,tchick4270,69.0,49.99,167.5
8212116757,95.0,6.176505000000001,victoriakelly,164.0,49.99,167.5
8212116757,125.0,6.787303,hotjesq,0.0,49.99,167.5
8212116757,105.0,6.9404509999999995,dune457,8.0,49.99,167.5
8212116757,110.0,6.97875,jya2003,0.0,49.99,167.5
8212116757,115.0,6.982141,jya2003,0.0,49.99,167.5
8212116757,120.0,6.994814999999999,runnerpiano,106.0,49.99,167.5
8212116757,167.5,6.997766,p_man117,1.0,49.99,167.5
8212116757,130.0,6.998530000000001,jya2003,0.0,49.99,167.5
8212116757,135.0,6.998715,jya2003,0.0,49.99,167.5
8212116757,140.0,6.9989,jya2003,0.0,49.99,167.5
8212116757,145.0,6.99912,jya2003,0.0,49.99,167.5
8212116757,150.0,6.999306,jya2003,0.0,49.99,167.5
8212116757,167.5,6.999363000000001,p_man117,1.0,49.99,167.5
8212116757,155.0,6.999491,jya2003,0.0,49.99,167.5
8212116757,160.0,6.999687,jya2003,0.0,49.99,167.5
